Method	Point_Count	Average	Min	Max	Std	PSNR
AMA-MLP	300	0.018480	0.000000	0.047286	0.007558	42.4026
AMA-MLP	400	0.014224	0.000000	0.034825	0.005839	44.6770
AMA-MLP	500	0.011902	0.000000	0.029973	0.004933	46.2228
AMA-MLP	600	0.010602	0.000000	0.026660	0.004407	47.2353
AMA-MLP	700	0.009531	0.000000	0.023598	0.003995	48.2034
AMA-MLP	800	0.008504	0.000000	0.021176	0.003622	49.2227
AMA-MLP	900	0.007557	0.000000	0.020024	0.003269	50.2729
AMA-MLP	1000	0.006690	0.000000	0.018719	0.002936	51.3473
